path,partition,bytes,lines,sha256
david_inner.F,electronic_solution,56638,1368,1684e3acc9f8f098b80e47c2b201641157ecaf8484beac6a1a8aeff8d2470f3c
davidson.F,electronic_solution,46072,1193,858eca25ef35f7e10981dfabcbed99f17b26b563205fc04f1801f0f8af589475
dfast.F,representation,35984,1125,66d1f67bd12cc8a3bfb958401440e24f66a9ce5c4c7b3def01bf48d62e789572
dgemmtest.F,numerics,7528,278,afacd28b9a0441d5194f54cb8d5bb360152f1980d6aeed32279c3ad496eb722a
diis.F,electronic_solution,9145,267,8e2da1c6ce8b00dfa14f3bd5001b74d3f6497267e9699933cc6370577eec24ad
dimer_heyden.F,ions,30604,697,2ff0925c8fc7238519ba295a5673fc8102f0b4ee9d0a4f57f0d07df3f3b5ac11
dipol.F,electrostatics,47221,1301,037b81dd28a32b9c05a9dac6840aa6e49446ff11dd53fb46a7f0c17a89a8d08c
dmatrix.F,response,70137,2370,b87f77c85a0d8c6fb4246c7a0158a0e28b247a0423f43771abd1b89e22d23c97
dmft.F,localized,175205,4654,8886ad4887a2690537bc3865bbb8c2ea73ce93150bfde9c219f1e1d83100d2a9
dos.F,electronic_solution,42669,1144,88be77255a90e845bd8e18582f18b3a3579527c1bd3aae1492355fb1c75c8313
dvvtrajectory.F,ions,11551,321,998c5bd8cb6805fc7e001889c6fa9c777eec53d7fda57d48c6f14ea51d69ab55
dyna.F,ions,43187,1437,53fb0f06569b2f2a4367b2dce21886b9c402e5776f83def08c6f1090a95bfa11
dynbr.F,ions,19014,582,5214e7d3856c5861ef8c42304afd8abdb39d1a90669450bb90bb25cb440dd4fb
dynconstr.F,ions,264122,6373,0470840f526ede98e624ec1d58d7e8ed4d3a431fc795dd3a521a38772463ee2f
ebs.F,electrostatics,71717,1751,37bc455cafa05b10c6cccfad299f56da3cbfd9c0b9fa509fbd164f96c6c360bd
egrad.F,response,21543,671,80b02eabcbf9652c36d23204afff214a58dea69199e9f93d48640134a66c71e5
electron.F,electronic_solution,48975,1279,5fddfdf06a7d719c66129363007dc5fc35f525afaf62f268987fc48f6f374423
electron_OEP.F,electronic_solution,49141,1369,fff412d56cb4b93669c03a5a8dbdb0accdffa086e68b24fa996d506c1e9111c7
electron_all.F,electronic_solution,40887,1044,76bcdfc699443f403526a0f061fae57cdcabf41458b1d882676396065ca66369
electron_common.F,electronic_solution,4797,127,48888fdb7130386d70675ed82b804019a1211bef8e3be1c43476fbfb62d77145
electron_lhf.F,electronic_solution,31984,886,a9989d70ca733c932bb97f7ade7cac6a1fc01035379616ebd81b97aae7492162
elf.F,electronic_solution,10695,313,e32ef50034853e7cfed22714dd735e6183dc5e7b0b4cf2bd7243fac005041275
elinear_response.F,response,66222,1785,6da7bfb8e6b15c5344e38c7ed6dfd0eb5cc7db90bb264dc5887da39a91fcf7ae
elphon.F,vibrations,217463,5359,d69c1eb322f415d7cacdcb100d6b9c6777462bf12b7ada71d18fb00f7caec103
elphon_accumulators.F,vibrations,137135,2866,f2b4d01902673c5c7af924c8860063404587c867ea40cec3e0811384cb80810f
elphon_base.F,vibrations,82237,1714,a2fd905146ddae41421c647f8ce94e77c546465ff9011f4a1b8c8123a5be5ec9
elphon_common.F,vibrations,76087,1719,1287ac76f3d27870d39d418f6f5c9ce82c01e62119cd58ea8810e317f1ffd10d
elphon_derivative.F,vibrations,40763,1068,ce360bbf26b1bed3e78be59339508dbca35bbd407d92678f7261a58abf87354d
elphon_driver.F,vibrations,27864,534,8377f0cc79bcedcc36cddfba870e452bfa2fd1dd34617c033bc411b1bf935a54
elphon_kgrid.F,vibrations,58189,1470,e40cdcdf4f8294cb3b9bebbbfbb41fe4a09abe1f5b574a22983cec49d3db2aad
elphon_mels.F,vibrations,152382,3195,3740b295f8b75b34fab70a2157403284afb4e1b509df3e3be275d653fe576c15
